Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,location,lat,lng
1239,JOJFISEN,JO JOHNSTON AVE & FISK ST EB,FALSE,FALSE,25,MIDTOWN,"(36.267823, -86.701859)",36.267823,-86.701859
1224,JEF4AEN,JEFFERSON ST & 4TH AVE EB,FALSE,FALSE,41,GOLDEN VALLEY,"(36.045904, -86.657994)",36.045904,-86.657994
2748,COUDOANN,COUNTY HOSPITAL RD & DOAK AVE NB,FALSE,FALSE,22,BORDEAUX,"(36.169865, -86.763587)",36.169865,-86.763587
702,6AVCOMSN,6TH AVE N & COMMERCE ST SB,FALSE,TRUE,"3,5,7",WEST END - WHITE BRIDGE,"(36.193904, -86.778438)",36.193904,-86.778438
4606,DOLL,DOLLAR GENERAL PARK-N-RIDE,FALSE,FALSE,"37,52",TUSCULUM - McMURRAY EXPRESS,"(36.109474, -86.814515)",36.109474,-86.814515
1089,HARSTTWM,HARDING PIKE & ST. THOMAS HOSPITAL,FALSE,FALSE,"3,5",WEST END - WHITE BRIDGE,"(36.16173, -86.775429)",36.16173,-86.775429
4179,KINMEAEN,KINGS LN & MEADOW HILL DR EB,FALSE,FALSE,14,WHITES CREEK,"(36.120711, -86.790472)",36.120711,-86.790472
2308,PICORCWN,PICADILLY ROW & ORCHARD MOUNTAIN CT WB,FALSE,FALSE,38,ANTIOCH EXPRESS,"(36.182778, -86.738046)",36.182778,-86.738046
4475,EDMWHISM,EDMONDSON PIKE & WHISPERING HILLS D,FALSE,FALSE,72,GRASSMERE-EDMONDSON CONNECTOR,"(36.189279, -86.764073)",36.189279,-86.764073
4810,CHABROSN,CHAROLTTE AVE & BROOKHOLLOW RD SB,FALSE,TRUE,10,CHARLOTTE,"(36.143683, -86.795468)",36.143683,-86.795468
308,ABBHILEM,ABBOTT MARTIN RD & HILLSBORO PIKE E,TRUE,FALSE,"2,21",BELMONT,"(36.131353, -86.834471)",36.131353,-86.834471
2588,LAF5AEN,GREYHOUND STATION - LAFAYETTE ST & 5TH AVE S,TRUE,FALSE,"84,86,96",MURFREESBORO EXPRESS,"(36.077522, -86.911947)",36.077522,-86.911947
4851,TROGRASM,TROUSDALE DR & GRASMERE PARK SB,FALSE,FALSE,72,GRASSMERE-EDMONDSON CONNECTOR,"(36.183034, -86.837052)",36.183034,-86.837052
454,BRACRANF,BRANSFORD AVE & CRAIGHEAD ST NB,FALSE,FALSE,1,100 OAKS,"(36.142972, -86.787031)",36.142972,-86.787031
2103,WOO5SWN,WOODLAND ST & S 5TH ST WB,TRUE,TRUE,20,SCOTT,"(36.177543, -86.758659)",36.177543,-86.758659
2472,OLDBREEM,OLD HICKORY BLVD & BRENTWOOD CHASE,FALSE,FALSE,37,TUSCULUM - McMURRAY EXPRESS,"(36.110693, -86.785774)",36.110693,-86.785774
1476,MONWARNN,MONTGOMERY AVE & WARD ST NB,FALSE,FALSE,30,McFERRIN,"(36.253312, -86.698326)",36.253312,-86.698326
2958,DICROCSF,DICKERSON PIKE & ROCK ST SB,FALSE,FALSE,"23,43",DICKERSON ROAD,"(36.110185, -86.738175)",36.110185,-86.738175
1154,HILRICSF,HILLSBORO PIKE & RICHARD JONES RD S,FALSE,TRUE,"2,21",BELMONT,"(36.202834, -86.693524)",36.202834,-86.693524
290,8AMONSN,8TH AVE N & MONROE ST SB,FALSE,TRUE,"22,42",BORDEAUX,"(35.849584, -86.398955)",35.849584,-86.398955
409,BELHHOWN,BELL RD & HICKORY HOLLOW LN WB,FALSE,TRUE,"15,33",MURFREESBORO PIKE,"(36.13434, -86.723268)",36.13434,-86.723268
3850,BRO2AWN,BROADWAY AVE & 2ND AVE N WB,FALSE,TRUE,"25,27,36,44,93",LEBANON PIKE,"(36.183867, -86.773861)",36.183867,-86.773861
4735,MANFAWWN,MANZANO RD & FAWN LN WB,FALSE,FALSE,76,MADISON CONNECTOR,"(36.223911, -86.76099)",36.223911,-86.76099
4725,DUPSEAWN,N DUPONT AVE & SEALEY DR WB,FALSE,FALSE,76,MADISON CONNECTOR,"(36.112037, -86.745666)",36.112037,-86.745666
396,BELCOLEN,BELL RD & COLLINS PARK DR EB,FALSE,FALSE,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.170671, -86.653457)",36.170671,-86.653457
